,배우코드,영화제목,개봉날짜,배우이름,감독,출연진,평점
59,cho_seungwoo,도마뱀,20060085,조승우,강지은,"['강혜정', '조승우']",7.14
60,cho_seungwoo,도마뱀,20060085,조승우,강지은,"['강혜정', '조승우']",7.14
61,kang_hyejeong,보이지 않는 물결,20060110,강혜정,펜엑 라타나루앙,"['아사노 타다노부', '강혜정']",5.91
62,kang_hyejeong,웰컴 투 동막골,20050180,강혜정,배종,"['정재영', '신하균', '강혜정']",8.89
63,kang_hyejeong,웰컴 투 동막골,20050180,강혜정,배종,"['정재영', '신하균', '강혜정']",8.89
64,shin_hakyun,웰컴 투 동막골,20050180,신하균,배종,"['정재영', '신하균', '강혜정']",8.89
65,shin_hakyun,웰컴 투 동막골,20050180,신하균,배종,"['정재영', '신하균', '강혜정']",8.89
66,kang_hyejeong,연애의 목적,20050110,강혜정,한재림,"['박해일', '강혜정']",8.13
67,kang_hyejeong,올드보이,20030350,강혜정,박찬욱,"['최민식', '유지태', '강혜정']",9.04
68,choi_minsik,올드보이,20030350,최민식,박찬욱,"['최민식', '유지태', '강혜정']",9.04
69,go_ahseong,삼진그룹 영어토익반,20197121,고아성,이종필,"['고아성', '이솜', '박혜수']",8.26
70,go_ahseong,삼진그룹 영어토익반,20197121,고아성,이종필,"['고아성', '이솜', '박혜수']",8.26
71,e_som,삼진그룹 영어토익반,20197121,이솜,이종필,"['고아성', '이솜', '박혜수']",8.26
72,e_som,삼진그룹 영어토익반,20197121,이솜,이종필,"['고아성', '이솜', '박혜수']",8.26
73,go_ahseong,항거:유관순 이야기,20196601,고아성,조민호,"['고아성', '김새벽', '김예은', '정하담', '류경수']",8.66
74,go_ahseong,오빠생각,20158483,고아성,이한,"['임시완', '고아성']",8.52
75,go_ahseong,지금은맞고그때는틀리다,20151782,고아성,홍상수,"['정재영', '김민희']",6.45
76,yoon_yeojeong,지금은맞고그때는틀리다,20151782,윤여정,홍상수,"['정재영', '김민희']",6.45
